,test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant,GO term
37,XLOC_000035,XLOC_000035,SWC3,I:132198-134076,NI,I,NOTEST,0.253841,1.68639,2.7319400000000003,0.0,1.0,1.0,no,
38,XLOC_000036,XLOC_000036,SPO7,I:135853-136633,NI,I,OK,20.660999999999998,14.8521,-0.47624399999999995,-0.5758479999999999,0.4334,0.875217,no,
39,XLOC_000037,XLOC_000037,FUN14,I:136913-137510,NI,I,OK,28.3639,23.4509,-0.274414,-0.33100300000000005,0.6486,0.933132,no,
40,XLOC_000038,XLOC_000038,TRN1,I:139151-139254,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
41,XLOC_000039,XLOC_000039,YAL004W,I:139502-141431,NI,I,OK,10.4946,13.790999999999999,0.39408899999999997,0.260741,0.76185,0.961082,no,
42,XLOC_000040,XLOC_000040,"EFB1,VPS8",I:142077-151166,NI,I,OK,125.132,209.99200000000002,0.746883,0.660118,0.4087,0.865906,no,
43,XLOC_000041,XLOC_000041,SNR18,I:142077-151166,NI,I,OK,15936.0,13472.3,-0.24229,-0.21776700000000002,0.75325,0.958139,no,
44,XLOC_000042,XLOC_000042,NUP60,I:152256-153876,NI,I,NOTEST,3.6638,4.0244599999999995,0.135456,0.0,1.0,1.0,no,
45,XLOC_000043,XLOC_000043,SWD1,I:155004-156285,NI,I,OK,18.4712,19.6956,0.0925936,0.137961,0.8523,0.971607,no,
46,XLOC_000044,XLOC_000044,SEN34,I:158965-159793,NI,I,OK,5.139130000000001,11.1265,1.1144,0.887086,0.2012,0.761333,no,
47,XLOC_000045,XLOC_000045,TGA1,I:166266-166339,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
48,XLOC_000046,XLOC_000046,ADE1,I:169374-170295,NI,I,OK,271.781,78.8176,-1.78585,-3.61726,5e-05,0.00594074,yes,
49,XLOC_000047,XLOC_000047,YAR019W-A,I:172210-175330,NI,I,NOTEST,3.5056199999999995,0.0,-inf,0.0,1.0,1.0,no,
50,XLOC_000048,XLOC_000048,SUP56,I:181140-181254,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
51,XLOC_000049,XLOC_000049,UIP3,I:183769-184477,NI,I,OK,43.9144,42.0097,-0.06397169999999999,-0.0943696,0.89295,0.978844,no,
52,XLOC_000050,XLOC_000050,YAR028W,I:184891-185596,NI,I,OK,45.5252,46.0875,0.0177102,0.0275425,0.9735,0.980815,no,
53,XLOC_000051,XLOC_000051,YAR029W,I:186320-187732,NI,I,OK,0.0,30.5866,inf,,0.1896,0.7532260000000001,no,
54,XLOC_000052,XLOC_000052,PRM9,I:186320-187732,NI,I,NOTEST,8.00296,2.8674,-1.48079,0.0,1.0,1.0,no,
55,XLOC_000053,XLOC_000053,MST28,I:188106-188811,NI,I,NOTEST,2.90286,1.88979,-0.6192489999999999,0.0,1.0,1.0,no,
56,XLOC_000054,XLOC_000054,YAT1,I:190192-192256,NI,I,NOTEST,5.58255,12.308,1.1406,0.0,1.0,1.0,no,
57,XLOC_000055,XLOC_000055,SWH1,I:192618-196185,NI,I,NOTEST,1.8601299999999998,2.99041,0.684936,0.0,1.0,1.0,no,
58,XLOC_000056,XLOC_000056,FLO1,I:203402-208016,NI,I,NOTEST,1.9859,1.4269999999999998,-0.476814,0.0,1.0,1.0,no,
59,XLOC_000057,XLOC_000057,YAR053W,I:208236-209414,NI,I,OK,9.82346,21.8272,1.15183,0.40880500000000003,0.46195,0.884833,no,
60,XLOC_000058,XLOC_000058,YAR061W,I:218139-219145,NI,I,NOTEST,0.0,0.385961,inf,0.0,1.0,1.0,no,
61,XLOC_000059,XLOC_000059,YAR064W,I:220197-220497,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
62,XLOC_000060,XLOC_000060,YAR066W,I:221048-221660,NI,I,NOTEST,0.0,5.18551,inf,0.0,1.0,1.0,no,
63,XLOC_000061,XLOC_000061,YAR068W,I:222405-222891,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
64,XLOC_000062,XLOC_000062,PHO11,I:225459-226863,NI,I,NOTEST,0.49499799999999994,1.31203,1.4063,0.0,1.0,1.0,no,
65,XLOC_000063,XLOC_000063,"IMD1,YAR075W",I:227741-229317,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
66,XLOC_000064,XLOC_000064,PAU8,I:1806-2169,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
67,XLOC_000065,XLOC_000065,SEO1,I:7234-9016,NI,I,NOTEST,4.9467300000000005,0.828247,-2.5783400000000003,0.0,1.0,1.0,no,
68,XLOC_000066,XLOC_000066,YAL065C,I:11564-11951,NI,I,NOTEST,4.03409,0.0,-inf,0.0,1.0,1.0,no,
69,XLOC_000067,XLOC_000067,TDA8,I:13362-13743,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
70,XLOC_000068,XLOC_000068,YAL063C-A,I:22394-22685,NI,I,NOTEST,9.79268,0.0,-inf,0.0,1.0,1.0,no,
71,XLOC_000069,XLOC_000069,FLO9,I:23999-27968,NI,I,NOTEST,1.9437400000000002,2.99472,0.623582,0.0,1.0,1.0,no,
72,XLOC_000070,XLOC_000070,YAL059C-A,I:36495-37147,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
73,XLOC_000071,XLOC_000071,YAL056C-A,I:37463-39046,NI,I,NOTEST,6.5682100000000005,4.23476,-0.6332180000000001,0.0,1.0,1.0,no,
74,XLOC_000072,XLOC_000072,ACS1,I:42880-45022,NI,I,NOTEST,4.44646,6.9005,0.634045,0.0,1.0,1.0,no,
75,XLOC_000073,XLOC_000073,AIM2,I:51854-52595,NI,I,OK,15.4525,36.7396,1.2495,1.51781,0.05365,0.502061,no,
76,XLOC_000074,XLOC_000074,GEM1,I:52800-54913,NI,I,NOTEST,4.41601,2.49747,-0.822274,0.0,1.0,1.0,no,
77,XLOC_000075,XLOC_000075,SPC72,I:54988-56857,NI,I,NOTEST,0.321173,0.39499,0.29846500000000004,0.0,1.0,1.0,no,
78,XLOC_000076,XLOC_000076,BOL3,I:57028-57385,NI,I,OK,45.5624,58.025,0.34883200000000003,0.362628,0.6327,0.9294709999999999,no,
79,XLOC_000077,XLOC_000077,YAL045C,I:57487-57850,NI,I,NOTEST,4.4378,0.0,-inf,0.0,1.0,1.0,no,
80,XLOC_000078,XLOC_000078,GCV3,I:57949-58462,NI,I,OK,318.392,262.836,-0.27664,-0.529885,0.49085,0.8957950000000001,no,
81,XLOC_000079,XLOC_000079,PTA1,I:58694-61052,NI,I,OK,7.68837,13.1499,0.7743,1.22947,0.14825,0.708433,no,
82,XLOC_000080,XLOC_000080,YAL042C-A,I:61230-62563,NI,I,NOTEST,3.15024,0.0,-inf,0.0,1.0,1.0,no,
83,XLOC_000081,XLOC_000081,CLN3,I:65777-67520,NI,I,OK,4.02718,10.2649,1.34988,1.37178,0.0662,0.52664,no,
84,XLOC_000082,XLOC_000082,CYC3,I:68715-69525,NI,I,OK,25.9937,41.6138,0.678901,0.982684,0.2315,0.769278,no,
85,XLOC_000083,XLOC_000083,YAL037C-B,I:71785-73300,NI,I,OK,162.995,458.19300000000004,1.4911299999999998,2.4182799999999998,0.00345,0.114099,no,
86,XLOC_000084,XLOC_000084,YAL037C-A,I:73425-73518,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
87,XLOC_000085,XLOC_000085,RBG1,I:75042-76152,NI,I,OK,19.6788,25.7705,0.38907800000000003,0.560187,0.4357,0.875217,no,
88,XLOC_000086,XLOC_000086,YAL034C-B,I:79488-82547,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
89,XLOC_000087,XLOC_000087,FUN19,I:79488-82547,NI,I,NOTEST,6.77418,7.711810000000001,0.187025,0.0,1.0,1.0,no,
90,XLOC_000088,XLOC_000088,PRP45,I:83334-84474,NI,I,OK,12.0491,27.9562,1.21424,1.9138,0.0538,0.502061,no,
91,XLOC_000089,XLOC_000089,GIP4,I:84668-87031,NI,I,NOTEST,1.7268700000000001,2.00752,0.217254,0.0,1.0,1.0,no,
92,XLOC_000090,XLOC_000090,MYO4,I:87854-92270,NI,I,NOTEST,3.05871,2.33494,-0.38954,0.0,1.0,1.0,no,
93,XLOC_000091,XLOC_000091,"DRS2,YAL026C-A",I:94686-99868,NI,I,OK,2.23965,11.1792,2.31946,1.0580399999999999,0.07735,0.553948,no,
94,XLOC_000092,XLOC_000092,MAK16,I:100224-101145,NI,I,NOTEST,3.62966,3.06773,-0.242667,0.0,1.0,1.0,no,
95,XLOC_000093,XLOC_000093,LTE1,I:101564-105872,NI,I,NOTEST,0.582394,0.908112,0.640875,0.0,1.0,1.0,no,
96,XLOC_000094,XLOC_000094,PMT2,I:106271-108551,NI,I,OK,18.5179,34.5724,0.900699,1.58064,0.02735,0.394886,no,
97,XLOC_000095,XLOC_000095,FUN26,I:108876-110430,NI,I,OK,11.9948,10.4512,-0.19874,-0.27379899999999996,0.71745,0.948392,no,
98,XLOC_000096,XLOC_000096,CCR4,I:110845-113359,NI,I,NOTEST,3.39635,6.3419,0.9009280000000001,0.0,1.0,1.0,no,
99,XLOC_000097,XLOC_000097,ATS1,I:113613-114819,NI,I,NOTEST,6.25831,3.7365199999999996,-0.744077,0.0,1.0,1.0,no,
100,XLOC_000098,XLOC_000098,LDS1,I:118563-119541,NI,I,NOTEST,0.0,0.808775,inf,0.0,1.0,1.0,no,
101,XLOC_000099,XLOC_000099,YAL016C-B,I:124306-124492,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
102,XLOC_000100,XLOC_000100,YAL016C-A,I:124754-126786,NI,I,OK,7.7478,35.4949,2.19575,1.18611,0.2867,0.794401,no,
103,XLOC_000101,XLOC_000101,NTG1,I:126902-128102,NI,I,OK,30.6339,25.0574,-0.28989499999999996,-0.483675,0.53065,0.8984770000000001,no,
104,XLOC_000102,XLOC_000102,SYN8,I:128251-129019,NI,I,OK,17.5777,24.0396,0.451667,0.531722,0.48515,0.894407,no,
105,XLOC_000103,XLOC_000103,MDM10,I:134183-135665,NI,I,NOTEST,7.874219999999999,5.93023,-0.40905,0.0,1.0,1.0,no,
106,XLOC_000104,XLOC_000104,ERP2,I:137697-138345,NI,I,OK,8.0924,28.6375,1.8232700000000002,2.0295099999999997,0.0746,0.546385,no,
107,XLOC_000105,XLOC_000105,SSA1,I:139502-141431,NI,I,OK,9.18121,24.4749,1.41455,2.171,0.0147,0.279039,no,catalytic activity
108,XLOC_000106,XLOC_000106,TFC3,I:142077-151166,NI,I,NOTEST,0.577897,1.33595,1.20898,0.0,1.0,1.0,no,
109,XLOC_000107,XLOC_000107,ERP1,I:154064-154724,NI,I,OK,121.73899999999999,151.81,0.318471,0.539259,0.44715,0.879597,no,
110,XLOC_000108,XLOC_000108,RFA1,I:156753-158619,NI,I,NOTEST,3.3413199999999996,7.1344,1.09437,0.0,1.0,1.0,no,
111,XLOC_000109,XLOC_000109,YAR009C,I:160596-164187,NI,I,NOTEST,0.0,0.12475,inf,0.0,1.0,1.0,no,
112,XLOC_000110,XLOC_000110,YAR010C,I:164543-165866,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
113,XLOC_000111,XLOC_000111,BUD14,I:166741-168871,NI,I,NOTEST,5.12046,6.57371,0.36043600000000003,0.0,1.0,1.0,no,
114,XLOC_000112,XLOC_000112,KIN3,I:170395-171703,NI,I,NOTEST,0.441076,2.75851,2.64479,0.0,1.0,1.0,no,
115,XLOC_000113,XLOC_000113,CDC15,I:172210-175330,NI,I,NOTEST,1.1177,1.4526700000000001,0.37817199999999995,0.0,1.0,1.0,no,
116,XLOC_000114,XLOC_000114,PAU7,I:176855-177023,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
117,XLOC_000115,XLOC_000115,YAR023C,I:179280-179820,NI,I,NOTEST,1.94113,3.16305,0.704422,0.0,1.0,1.0,no,
118,XLOC_000116,XLOC_000116,tS(AGA)A,I:182521-182603,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
119,XLOC_000117,XLOC_000117,YAR030C,I:186320-187732,NI,I,OK,12.5308,7.222810000000001,-0.794847,-0.331768,0.68885,0.942701,no,
120,XLOC_000118,XLOC_000118,YAR035C-A,I:192336-192417,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
121,XLOC_000119,XLOC_000119,YAR047C,I:201466-201787,NI,I,NOTEST,0.0,2.06058,inf,0.0,1.0,1.0,no,
122,XLOC_000120,XLOC_000120,YAR060C,I:217156-217492,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
123,XLOC_000121,XLOC_000121,YAR069C,I:224010-224304,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
124,XLOC_000122,XLOC_000122,YAR070C,I:224562-224862,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
125,XLOC_000123,XLOC_000123,YBL113W-A,II:279-5009,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
126,XLOC_000124,XLOC_000124,YBL109W,II:5789-6125,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
127,XLOC_000125,XLOC_000125,YBL108W,II:8176-8482,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
128,XLOC_000126,XLOC_000126,YBL107W-A,II:9267-9372,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
129,XLOC_000127,XLOC_000127,tL(UAA)B1,II:9582-9666,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
130,XLOC_000128,XLOC_000128,SFT2,II:24097-24745,NI,I,OK,54.9515,62.4002,0.183392,0.28599600000000003,0.7129,0.948175,no,
131,XLOC_000129,XLOC_000129,YBL100W-C,II:28426-28546,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
132,XLOC_000130,XLOC_000130,YBL100W-B,II:29934-35248,NI,I,NOTEST,0.12116400000000001,0.240792,0.990822,0.0,1.0,1.0,no,
133,XLOC_000131,XLOC_000131,tF(GAA)B,II:36397-36488,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
134,XLOC_000132,XLOC_000132,ATP1,II:36988-38690,NI,I,OK,21.5539,28.4495,0.400456,0.60436,0.406,0.865906,no,
135,XLOC_000133,XLOC_000133,BNA4,II:39144-40527,NI,I,OK,54.5214,34.578,-0.6569699999999999,-1.14334,0.13445,0.679178,no,oxidoreductase activity
136,XLOC_000133,XLOC_000133,BNA4,II:39144-40527,NI,I,OK,54.5214,34.578,-0.6569699999999999,-1.14334,0.13445,0.679178,no,coenzyme binding
137,XLOC_000133,XLOC_000133,BNA4,II:39144-40527,NI,I,OK,54.5214,34.578,-0.6569699999999999,-1.14334,0.13445,0.679178,no,cofactor binding
138,XLOC_000133,XLOC_000133,BNA4,II:39144-40527,NI,I,OK,54.5214,34.578,-0.6569699999999999,-1.14334,0.13445,0.679178,no,catalytic activity
139,XLOC_000134,XLOC_000134,BRN1,II:40830-43095,NI,I,NOTEST,0.278604,0.8731459999999999,1.6480099999999998,0.0,1.0,1.0,no,
140,XLOC_000135,XLOC_000135,MRX3,II:43173-44097,NI,I,OK,7.331980000000001,10.5654,0.527071,0.39089,0.59365,0.9160309999999999,no,
141,XLOC_000136,XLOC_000136,RPL32,II:45468-46381,NI,I,OK,537.72,421.065,-0.35281399999999996,-0.68099,0.36435,0.845242,no,
142,XLOC_000137,XLOC_000137,MRP21,II:48824-49358,NI,I,OK,82.6595,54.68,-0.596167,-0.819026,0.2533,0.771125,no,
143,XLOC_000138,XLOC_000138,AVT5,II:49573-50953,NI,I,OK,33.4413,16.6781,-1.00367,-1.56549,0.0351,0.43643699999999996,no,
144,XLOC_000139,XLOC_000139,BOI1,II:63875-66818,NI,I,NOTEST,1.39303,0.934834,-0.575447,0.0,1.0,1.0,no,
145,XLOC_000140,XLOC_000140,YBL081W,II:71865-72972,NI,I,NOTEST,1.22009,5.2348,2.10114,0.0,1.0,1.0,no,
146,XLOC_000141,XLOC_000141,NUP170,II:75258-79767,NI,I,NOTEST,2.83868,3.10708,0.130342,0.0,1.0,1.0,no,
147,XLOC_000142,XLOC_000142,ATG8,II:79894-80731,NI,I,OK,51.6104,16.6171,-1.63499,-1.32952,0.08605,0.584073,no,
148,XLOC_000143,XLOC_000143,YBL077W,II:80896-84261,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
149,XLOC_000144,XLOC_000144,YBL073W,II:86721-87957,NI,I,NOTEST,0.0,3.4420699999999997,inf,0.0,1.0,1.0,no,
150,XLOC_000145,XLOC_000145,SNR56,II:88189-88277,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
151,XLOC_000146,XLOC_000146,KTI11,II:89977-92030,NI,I,OK,46.5175,101.376,1.1238700000000001,0.538396,0.54725,0.900739,no,
152,XLOC_000147,XLOC_000147,AST1,II:89977-92030,NI,I,OK,5.76411,12.659,1.13499,0.883882,0.23755,0.769278,no,
153,XLOC_000148,XLOC_000148,PRS4,II:92413-93394,NI,I,OK,41.8053,35.3468,-0.24210500000000001,-0.369688,0.603,0.92055,no,
154,XLOC_000149,XLOC_000149,YBL065W,II:96668-100307,NI,I,NOTEST,2.80095,0.0,-inf,0.0,1.0,1.0,no,
155,XLOC_000150,XLOC_000150,KIP1,II:101885-105221,NI,I,NOTEST,0.584146,0.544292,-0.101948,0.0,1.0,1.0,no,
156,XLOC_000151,XLOC_000151,YBL062W,II:105307-107406,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
157,XLOC_000152,XLOC_000152,YEL1,II:107931-109995,NI,I,NOTEST,1.8315299999999999,1.02652,-0.8352959999999999,0.0,1.0,1.0,no,
158,XLOC_000153,XLOC_000153,YBL059W,II:110593-111244,NI,I,OK,10.8191,27.2335,1.33181,1.21122,0.1126,0.642742,no,
159,XLOC_000154,XLOC_000154,SHP1,II:111436-112708,NI,I,OK,39.4211,34.2005,-0.20495100000000002,-0.386988,0.6469,0.932699,no,
160,XLOC_000155,XLOC_000155,PTC3,II:113761-115168,NI,I,OK,18.7644,15.1627,-0.307469,-0.430016,0.5666,0.902379,no,
161,XLOC_000156,XLOC_000156,TOD6,II:117588-119166,NI,I,NOTEST,7.6661399999999995,4.55446,-0.751221,0.0,1.0,1.0,no,
162,XLOC_000157,XLOC_000157,YBL053W,II:119334-121874,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
163,XLOC_000158,XLOC_000158,SEC17,II:125124-126119,NI,I,OK,40.6666,41.6135,0.0332073,0.0497978,0.9373,0.979664,no,
164,XLOC_000159,XLOC_000159,MOH1,II:126827-127244,NI,I,OK,22.9486,7.9095699999999995,-1.53673,-0.776127,0.25675,0.771934,no,
165,XLOC_000160,XLOC_000160,RRT1,II:127298-127610,NI,I,OK,18.3155,0.0,-inf,,0.01225,0.250306,no,
166,XLOC_000161,XLOC_000161,PSY4,II:132423-133749,NI,I,NOTEST,2.7327,2.8487,0.0599771,0.0,1.0,1.0,no,
167,XLOC_000162,XLOC_000162,YBL044W,II:135997-136366,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
168,XLOC_000163,XLOC_000163,ECM13,II:136687-137461,NI,I,NOTEST,1.15654,6.3455,2.45592,0.0,1.0,1.0,no,
169,XLOC_000164,XLOC_000164,PRE7,II:141246-141972,NI,I,OK,45.7812,37.0537,-0.305136,-0.440741,0.55125,0.900739,no,
170,XLOC_000165,XLOC_000165,YBL039W-B,II:143392-143572,NI,I,NOTEST,35.3951,0.0,-inf,0.0,1.0,1.0,no,
171,XLOC_000166,XLOC_000166,MRPL16,II:146186-146885,NI,I,OK,22.7605,25.4461,0.16091,0.207076,0.80525,0.968592,no,
172,XLOC_000167,XLOC_000167,APL3,II:147208-150286,NI,I,NOTEST,2.46893,2.59461,0.07163530000000001,0.0,1.0,1.0,no,
173,XLOC_000168,XLOC_000168,HEK2,II:160183-161329,NI,I,OK,14.4685,15.2483,0.07573830000000001,0.106271,0.91035,0.979073,no,
174,XLOC_000169,XLOC_000169,SHE1,II:161698-162715,NI,I,NOTEST,2.85757,1.26231,-1.1787299999999998,0.0,1.0,1.0,no,
175,XLOC_000170,XLOC_000170,YBL029W,II:166133-167264,NI,I,OK,26.458000000000002,32.7218,0.306548,0.415472,0.5612,0.9021299999999999,no,
176,XLOC_000171,XLOC_000171,"LSM2,RPL19B",II:168319-171138,NI,I,OK,336.55800000000005,393.88599999999997,0.22692199999999998,0.27808299999999997,0.73775,0.954894,no,
177,XLOC_000172,XLOC_000172,RRN10,II:171480-171918,NI,I,OK,27.2861,27.069000000000003,-0.011528700000000001,-0.0101154,0.9278,0.979073,no,
178,XLOC_000173,XLOC_000173,NCL1,II:172533-174588,NI,I,NOTEST,3.31181,6.1451400000000005,0.891827,0.0,1.0,1.0,no,
179,XLOC_000174,XLOC_000174,RFT1,II:182400-184125,NI,I,OK,22.9817,19.4155,-0.24327800000000002,-0.379779,0.5953,0.916451,no,
180,XLOC_000175,XLOC_000175,APN2,II:184352-185915,NI,I,NOTEST,0.750795,0.873768,0.218831,0.0,1.0,1.0,no,
181,XLOC_000176,XLOC_000176,FUS3,II:192450-193512,NI,I,OK,13.4086,19.5193,0.541734,0.70629,0.3628,0.8449209999999999,no,catalytic activity
182,XLOC_000177,XLOC_000177,ACH1,II:194121-195702,NI,I,OK,7.179289999999999,10.7796,0.586388,0.811105,0.3006,0.804946,no,
183,XLOC_000178,XLOC_000178,tI(AAU)B,II:197493-197567,NI,I,NOTEST,0.0,0.0,0.0,0.0,1.0,1.0,no,
