GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0006555	methionine metabolic process	0.00238731324663519	2.55327619960983e-06	10	271	42	7166	0.00%	0.00	MET10, SAM1, ARO10, MET22, MET5, MET16, MET6, YHR208W, STR3, MET1
GO:0009126	purine nucleoside monophosphate metabolic process	0.00301585795849061	3.22551653314504e-06	17	271	123	7166	0.00%	0.00	COX4, BI4, TDH2, TDH3, EMI2, ENO1, HXK1, COB, PGK1, PDC5, NCA3, ATP2, ATP6, BI2, TDH1, TPI1, BI3
GO:0009167	purine ribonucleoside monophosphate metabolic process	0.00301585795849061	3.22551653314504e-06	17	271	123	7166	0.00%	0.00	BI4, COX4, EMI2, ENO1, TDH2, TDH3, PDC5, NCA3, PGK1, COB, HXK1, BI3, TPI1, TDH1, BI2, ATP2, ATP6
GO:0009312	oligosaccharide biosynthetic process	0.00355646494933779	3.80370582816876e-06	5	271	8	7166	0.00%	0.00	TPS1, YML100W, PGM2, TPS2, UGP1
GO:0046351	disaccharide biosynthetic process	0.00355646494933779	3.80370582816876e-06	5	271	8	7166	0.00%	0.00	UGP1, PGM2, TPS2, YML100W, TPS1
GO:0019725	cellular homeostasis	0.00433843855048076	4.64004123046071e-06	24	271	228	7166	0.00%	0.00	HXK1, ZRT3, YKE4, ARN1, SIT1, SOD1, ORM2, FRE7, TIS11, PGM2, GPD1, FET3, TRX1, YPR124W, FRE1, PRX1, FRE3, SNQ2, PMA1, TRX2, PDR5, ARN2, AHP1, EMI2
GO:0000920	cell separation after cytokinesis	0.00486086622546807	5.19878740691772e-06	7	271	20	7166	0.00%	0.00	AMN1, DSE1, CBK1, SDS24, EGT2, DSE2, CTS1
GO:0055076	transition metal ion homeostasis	0.00488642888363861	5.22612714827659e-06	14	271	89	7166	0.00%	0.00	YPR124W, FET3, ARN2, TIS11, FIT2, FRE7, FTR1, SOD1, SIT1, ARN1, FRE3, YKE4, FRE1, ZRT3
GO:0006812	cation transport	0.00544986313144081	5.82873062186183e-06	24	271	231	7166	0.00%	0.00	ZRT3, YKE4, NCA3, FTR1, ATR1, FRE7, GAP1, ATP2, ATP6, FET3, PHM7, YPR124W, ZRT2, MUP1, YMC2, FRE1, PMA1, FRE3, HXT4, COX4, BAP2, ZRT1, TPO4, HXT2
GO:0006090	pyruvate metabolic process	0.00578401602695368	6.18611339781142e-06	10	271	46	7166	0.00%	0.00	TDH1, TDH2, TDH3, ALD4, TPI1, ENO1, EMI2, HXK1, PGK1, PDC5
GO:0071852	fungal-type cell wall organization or biogenesis	0.00632892319282909	6.76890181051239e-06	24	271	233	7166	0.00%	0.00	YPS3, SOD1, SPI1, FMP45, NCA3, DFG5, ZEO1, HPF1, SUR7, TPS2, CCW12, YHR030C, SUN4, CWP2, NCW2, YNL194C, ECM33, YBR067C, CBK1, NCE102, EXG1, GFA1, FLC2, BAR1
GO:0055080	cation homeostasis	0.0065405659699347	6.99525772185529e-06	19	271	158	7166	0.00%	0.00	FET3, YPR124W, FRE7, PGM2, TIS11, SOD1, FTR1, SIT1, ZRT3, ARN1, YKE4, FIT2, PDR5, FLC2, ARN2, FRE1, SNQ2, FRE3, PMA1
GO:0051156	glucose 6-phosphate metabolic process	0.00705733388379585	7.54795067785653e-06	7	271	21	7166	0.00%	0.00	EMI2, SOL4, TAL1, HXK1, TKL2, PGM2, GND2
GO:0044272	sulfur compound biosynthetic process	0.00737989055809799	7.89293107817967e-06	13	271	80	7166	0.00%	0.00	MET1, BIO4, BIO3, STR3, MET6, YHR208W, MET16, MET22, MET5, BIO5, SAM1, MET10, ARO10
GO:0006096	glycolytic process	0.00757812459217733	8.1049460878902e-06	8	271	29	7166	0.00%	0.00	HXK1, PGK1, TDH1, TPI1, TDH2, TDH3, EMI2, ENO1
GO:0006757	ATP generation from ADP	0.00757812459217733	8.1049460878902e-06	8	271	29	7166	0.00%	0.00	ENO1, EMI2, TPI1, TDH2, TDH3, TDH1, PGK1, HXK1
GO:0055065	metal ion homeostasis	0.00759064327998875	8.1183350588115e-06	16	271	118	7166	0.00%	0.00	YPR124W, FET3, TIS11, PGM2, FRE7, SIT1, SOD1, FTR1, YKE4, ARN1, ZRT3, ARN2, FLC2, FIT2, FRE3, FRE1
GO:0046031	ADP metabolic process	0.00804669834912329	8.60609449104095e-06	9	271	38	7166	0.00%	0.00	TPI1, TDH2, TDH3, ENO1, EMI2, TDH1, PGK1, PDC5, HXK1
GO:0032787	monocarboxylic acid metabolic process	0.00815268310065632	8.71944716647735e-06	20	271	175	7166	0.00%	0.00	BIO5, ALD4, TPI1, TDH1, PDC5, ASN1, PGK1, BNA4, HXK1, BIO4, BIO3, ALD6, ENO1, EMI2, TDH2, TDH3, GOR1, ELO1, GND2, EEB1
GO:0009066	aspartate family amino acid metabolic process	0.00939598337713094	1.0049180082493e-05	12	271	70	7166	0.00%	0.00	MET1, STR3, YHR208W, MET6, ASN1, KGD2, MET16, MET5, MET22, ARO10, SAM1, MET10
